listenedAt,precipitaProb,tMin,tMax,sunrise,sunset,day_length,isWorkDay,cloud_pct,temp,feels_like,humidity,wind_speed,music_valence,music_arousal,idWeatherType = Clear sky,idWeatherType = Partly cloudy,idWeatherType = Sunny intervals,idWeatherType = Cloudy ,idWeatherType = Rain/showers,idWeatherType = Hail,idWeatherType = Intermittent heavy rain,idWeatherType = Snow,idWeatherType = Fog,idWeatherType = Light showers/rain,idWeatherType = Cloudy (High cloud),idWeatherType = Rain and snow,idWeatherType = Drizzle,idWeatherType = Showers and thunderstorms,idWeatherType = Frost,idWeatherType = Snow showers,idWeatherType = Intermittent rain,idWeatherType = Heavy showers/rain,idWeatherType = Showers/rain,idWeatherType = No information,idWeatherType = Heavy rain/showers,idWeatherType = Intermittent ligth rain,idWeatherType = Rain and thunderstorms,idWeatherType = Cloudy,idWeatherType = Light rain,idWeatherType = Thunderstorms,idWeatherType = Convective clouds,idWeatherType = Mist,classWindSpeed = Moderate,classWindSpeed = Weak,classWindSpeed = Strong,classWindSpeed = Very,classPrecInt = No precipitation,classPrecInt = Strong,classPrecInt = Moderate,classPrecInt = Weak,timeOfDay = Afternoon,timeOfDay = Evening,timeOfDay = Morning,timeOfDay = Night,timeOfDay = Early Morning,initial_emotion = angry,initial_emotion = fear,initial_emotion = happy,initial_emotion = neutral,initial_emotion = sad,initial_emotion = surprise,initial_emotion = disgust,valence_last_emotion,arousal_last_emotion,valence_initial_emotion,arousal_initial_emotion
0.765,0.0,0.514,0.629,0.215,0.839,0.623,1,0.04,0.629,0.643,0.68,0.018,0.652,0.592,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.474,0.513,0.635,0.5
0.781,0.0,0.514,0.629,0.215,0.839,0.623,1,0.2,0.614,0.614,0.64,0.103,0.489,0.465,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.661,0.634,0.635,0.5
0.79,0.0,0.514,0.629,0.215,0.839,0.623,1,0.2,0.614,0.614,0.64,0.103,0.611,0.563,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.855,0.563,0.635,0.5
0.975,0.0,0.514,0.629,0.215,0.839,0.623,1,0.4,0.543,0.543,0.91,0.041,0.54,0.528,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.128,0.71,0.299,0.651
0.978,0.0,0.514,0.629,0.215,0.839,0.623,1,0.4,0.543,0.543,0.91,0.041,0.574,0.54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.6,0.558,0.299,0.651
0.028,0.0,0.5,0.657,0.216,0.839,0.622,1,1.0,0.543,0.557,0.87,0.082,0.572,0.511,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.711,0.532,0.497,0.501
0.031,0.0,0.5,0.657,0.216,0.839,0.622,1,1.0,0.543,0.557,0.87,0.082,0.578,0.536,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.269,0.66,0.497,0.501
0.04,0.0,0.5,0.657,0.216,0.839,0.622,1,0.9,0.557,0.557,0.86,0.031,0.577,0.621,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.73,0.566,0.432,0.583
0.457,0.0,0.514,0.643,0.217,0.838,0.622,1,0.4,0.6,0.614,0.72,0.062,0.546,0.503,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.711,0.54,0.16,0.508
0.662,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.643,0.643,0.59,0.089,0.626,0.617,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.705,0.55,0.5,0.5
